atemp,atemp_c,casual,cnt,data_level,day_type,demand_level,dteday,holiday,hr,hum,humidity_pct,mnth,registered,season,season_label,temp,temp_c,weather_label,weathersit,weekday,weekday_label,windspeed,windspeed_kmh,workingday,year,yr
0.4091,20.455000000000002,3,34,hourly,Non-Hari Kerja,,2011-01-01,0,21,0.87,87.0,1,31,1,Musim Semi,0.4,16.400000000000002,Berkabut/Berawan,2,6,Sabtu,0.194,12.998000000000001,0,2011,0
0.4091,20.455000000000002,11,28,hourly,Non-Hari Kerja,,2011-01-01,0,22,0.94,94.0,1,17,1,Musim Semi,0.4,16.400000000000002,Berkabut/Berawan,2,6,Sabtu,0.2239,15.001299999999999,0,2011,0
0.4545,22.725,15,39,hourly,Non-Hari Kerja,,2011-01-01,0,23,0.88,88.0,1,24,1,Musim Semi,0.46,18.86,Berkabut/Berawan,2,6,Sabtu,0.2985,19.999499999999998,0,2011,0
0.4545,22.725,4,17,hourly,Non-Hari Kerja,,2011-01-02,0,0,0.88,88.0,1,13,1,Musim Semi,0.46,18.86,Berkabut/Berawan,2,0,Minggu,0.2985,19.999499999999998,0,2011,0
0.4394,21.97,1,17,hourly,Non-Hari Kerja,,2011-01-02,0,1,0.94,94.0,1,16,1,Musim Semi,0.44,18.04,Berkabut/Berawan,2,0,Minggu,0.2537,16.997899999999998,0,2011,0
0.4242,21.21,1,9,hourly,Non-Hari Kerja,,2011-01-02,0,2,1.0,100.0,1,8,1,Musim Semi,0.42,17.22,Berkabut/Berawan,2,0,Minggu,0.2836,19.0012,0,2011,0
0.4545,22.725,2,6,hourly,Non-Hari Kerja,,2011-01-02,0,3,0.94,94.0,1,4,1,Musim Semi,0.46,18.86,Berkabut/Berawan,2,0,Minggu,0.194,12.998000000000001,0,2011,0
0.4545,22.725,2,3,hourly,Non-Hari Kerja,,2011-01-02,0,4,0.94,94.0,1,1,1,Musim Semi,0.46,18.86,Berkabut/Berawan,2,0,Minggu,0.194,12.998000000000001,0,2011,0
0.4242,21.21,0,2,hourly,Non-Hari Kerja,,2011-01-02,0,6,0.77,77.0,1,2,1,Musim Semi,0.42,17.22,Hujan/Salju Ringan,3,0,Minggu,0.2985,19.999499999999998,0,2011,0
0.4091,20.455000000000002,0,1,hourly,Non-Hari Kerja,,2011-01-02,0,7,0.76,76.0,1,1,1,Musim Semi,0.4,16.400000000000002,Berkabut/Berawan,2,0,Minggu,0.194,12.998000000000001,0,2011,0
0.4091,20.455000000000002,0,8,hourly,Non-Hari Kerja,,2011-01-02,0,8,0.71,71.0,1,8,1,Musim Semi,0.4,16.400000000000002,Hujan/Salju Ringan,3,0,Minggu,0.2239,15.001299999999999,0,2011,0
0.3939,19.695,1,20,hourly,Non-Hari Kerja,,2011-01-02,0,9,0.76,76.0,1,19,1,Musim Semi,0.38,15.58,Berkabut/Berawan,2,0,Minggu,0.2239,15.001299999999999,0,2011,0
0.3485,17.424999999999997,7,53,hourly,Non-Hari Kerja,,2011-01-02,0,10,0.81,81.0,1,46,1,Musim Semi,0.36,14.76,Berkabut/Berawan,2,0,Minggu,0.2239,15.001299999999999,0,2011,0
0.3333,16.665,16,70,hourly,Non-Hari Kerja,,2011-01-02,0,11,0.71,71.0,1,54,1,Musim Semi,0.36,14.76,Berkabut/Berawan,2,0,Minggu,0.2537,16.997899999999998,0,2011,0
0.3333,16.665,20,93,hourly,Non-Hari Kerja,,2011-01-02,0,12,0.66,66.0,1,73,1,Musim Semi,0.36,14.76,Berkabut/Berawan,2,0,Minggu,0.2985,19.999499999999998,0,2011,0
0.3485,17.424999999999997,11,75,hourly,Non-Hari Kerja,,2011-01-02,0,13,0.66,66.0,1,64,1,Musim Semi,0.36,14.76,Berkabut/Berawan,2,0,Minggu,0.1343,8.9981,0,2011,0
0.3485,17.424999999999997,4,59,hourly,Non-Hari Kerja,,2011-01-02,0,14,0.76,76.0,1,55,1,Musim Semi,0.36,14.76,Hujan/Salju Ringan,3,0,Minggu,0.194,12.998000000000001,0,2011,0
0.3333,16.665,19,74,hourly,Non-Hari Kerja,,2011-01-02,0,15,0.81,81.0,1,55,1,Musim Semi,0.34,13.940000000000001,Hujan/Salju Ringan,3,0,Minggu,0.1642,11.0014,0,2011,0
0.3333,16.665,9,76,hourly,Non-Hari Kerja,,2011-01-02,0,16,0.71,71.0,1,67,1,Musim Semi,0.34,13.940000000000001,Hujan/Salju Ringan,3,0,Minggu,0.1642,11.0014,0,2011,0
0.3333,16.665,7,65,hourly,Non-Hari Kerja,,2011-01-02,0,17,0.57,56.99999999999999,1,58,1,Musim Semi,0.34,13.940000000000001,Cerah/Berawan Sebagian,1,0,Minggu,0.194,12.998000000000001,0,2011,0
0.3333,16.665,10,53,hourly,Non-Hari Kerja,,2011-01-02,0,18,0.46,46.0,1,43,1,Musim Semi,0.36,14.76,Berkabut/Berawan,2,0,Minggu,0.3284,22.0028,0,2011,0
0.2879,14.395,1,30,hourly,Non-Hari Kerja,,2011-01-02,0,19,0.42,42.0,1,29,1,Musim Semi,0.32,13.120000000000001,Cerah/Berawan Sebagian,1,0,Minggu,0.4478,30.002599999999997,0,2011,0
0.2727,13.635,5,22,hourly,Non-Hari Kerja,,2011-01-02,0,20,0.39,39.0,1,17,1,Musim Semi,0.3,12.299999999999999,Cerah/Berawan Sebagian,1,0,Minggu,0.3582,23.9994,0,2011,0
0.2273,11.365,11,31,hourly,Non-Hari Kerja,,2011-01-02,0,21,0.44,44.0,1,20,1,Musim Semi,0.26,10.66,Cerah/Berawan Sebagian,1,0,Minggu,0.3284,22.0028,0,2011,0
0.2121,10.605,0,9,hourly,Non-Hari Kerja,,2011-01-02,0,22,0.44,44.0,1,9,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,0,Minggu,0.2985,19.999499999999998,0,2011,0
0.2273,11.365,0,8,hourly,Non-Hari Kerja,,2011-01-02,0,23,0.47,47.0,1,8,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,0,Minggu,0.1642,11.0014,0,2011,0
0.197,9.85,0,5,hourly,Hari Kerja,,2011-01-03,0,0,0.44,44.0,1,5,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,1,Senin,0.3582,23.9994,1,2011,0
0.1667,8.334999999999999,0,2,hourly,Hari Kerja,,2011-01-03,0,1,0.44,44.0,1,2,1,Musim Semi,0.2,8.200000000000001,Cerah/Berawan Sebagian,1,1,Senin,0.4179,27.999299999999998,1,2011,0
0.1364,6.819999999999999,0,1,hourly,Hari Kerja,,2011-01-03,0,4,0.47,47.0,1,1,1,Musim Semi,0.16,6.5600000000000005,Cerah/Berawan Sebagian,1,1,Senin,0.3881,26.0027,1,2011,0
0.1364,6.819999999999999,0,3,hourly,Hari Kerja,,2011-01-03,0,5,0.47,47.0,1,3,1,Musim Semi,0.16,6.5600000000000005,Cerah/Berawan Sebagian,1,1,Senin,0.2836,19.0012,1,2011,0
0.1061,5.305,0,30,hourly,Hari Kerja,,2011-01-03,0,6,0.5,50.0,1,30,1,Musim Semi,0.14,5.74,Cerah/Berawan Sebagian,1,1,Senin,0.3881,26.0027,1,2011,0
0.1364,6.819999999999999,1,64,hourly,Hari Kerja,,2011-01-03,0,7,0.5,50.0,1,63,1,Musim Semi,0.14,5.74,Cerah/Berawan Sebagian,1,1,Senin,0.194,12.998000000000001,1,2011,0
0.1212,6.0600000000000005,1,154,hourly,Hari Kerja,,2011-01-03,0,8,0.5,50.0,1,153,1,Musim Semi,0.14,5.74,Cerah/Berawan Sebagian,1,1,Senin,0.2836,19.0012,1,2011,0
0.1364,6.819999999999999,7,88,hourly,Hari Kerja,,2011-01-03,0,9,0.43,43.0,1,81,1,Musim Semi,0.16,6.5600000000000005,Cerah/Berawan Sebagian,1,1,Senin,0.3881,26.0027,1,2011,0
0.1667,8.334999999999999,11,44,hourly,Hari Kerja,,2011-01-03,0,10,0.43,43.0,1,33,1,Musim Semi,0.18,7.38,Cerah/Berawan Sebagian,1,1,Senin,0.2537,16.997899999999998,1,2011,0
0.1818,9.09,10,51,hourly,Hari Kerja,,2011-01-03,0,11,0.4,40.0,1,41,1,Musim Semi,0.2,8.200000000000001,Cerah/Berawan Sebagian,1,1,Senin,0.3284,22.0028,1,2011,0
0.2121,10.605,13,61,hourly,Hari Kerja,,2011-01-03,0,12,0.35,35.0,1,48,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,1,Senin,0.2985,19.999499999999998,1,2011,0
0.2121,10.605,8,61,hourly,Hari Kerja,,2011-01-03,0,13,0.35,35.0,1,53,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,1,Senin,0.2836,19.0012,1,2011,0
0.2424,12.120000000000001,11,77,hourly,Hari Kerja,,2011-01-03,0,14,0.3,30.0,1,66,1,Musim Semi,0.26,10.66,Cerah/Berawan Sebagian,1,1,Senin,0.2836,19.0012,1,2011,0
0.2424,12.120000000000001,14,72,hourly,Hari Kerja,,2011-01-03,0,15,0.3,30.0,1,58,1,Musim Semi,0.26,10.66,Cerah/Berawan Sebagian,1,1,Senin,0.2537,16.997899999999998,1,2011,0
0.2424,12.120000000000001,9,76,hourly,Hari Kerja,,2011-01-03,0,16,0.3,30.0,1,67,1,Musim Semi,0.26,10.66,Cerah/Berawan Sebagian,1,1,Senin,0.2537,16.997899999999998,1,2011,0
0.2273,11.365,11,157,hourly,Hari Kerja,,2011-01-03,0,17,0.3,30.0,1,146,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,1,Senin,0.2239,15.001299999999999,1,2011,0
0.2576,12.879999999999999,9,157,hourly,Hari Kerja,,2011-01-03,0,18,0.32,32.0,1,148,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,1,Senin,0.1045,7.0015,1,2011,0
0.2576,12.879999999999999,8,110,hourly,Hari Kerja,,2011-01-03,0,19,0.47,47.0,1,102,1,Musim Semi,0.2,8.200000000000001,Cerah/Berawan Sebagian,1,1,Senin,0.0,0.0,1,2011,0
0.2273,11.365,3,52,hourly,Hari Kerja,,2011-01-03,0,20,0.47,47.0,1,49,1,Musim Semi,0.2,8.200000000000001,Cerah/Berawan Sebagian,1,1,Senin,0.1045,7.0015,1,2011,0
0.197,9.85,3,52,hourly,Hari Kerja,,2011-01-03,0,21,0.64,64.0,1,49,1,Musim Semi,0.18,7.38,Cerah/Berawan Sebagian,1,1,Senin,0.1343,8.9981,1,2011,0
0.1515,7.575,0,20,hourly,Hari Kerja,,2011-01-03,0,22,0.69,69.0,1,20,1,Musim Semi,0.14,5.74,Cerah/Berawan Sebagian,1,1,Senin,0.1343,8.9981,1,2011,0
0.2121,10.605,1,12,hourly,Hari Kerja,,2011-01-03,0,23,0.55,55.00000000000001,1,11,1,Musim Semi,0.18,7.38,Cerah/Berawan Sebagian,1,1,Senin,0.1045,7.0015,1,2011,0
0.1818,9.09,0,5,hourly,Hari Kerja,,2011-01-04,0,0,0.55,55.00000000000001,1,5,1,Musim Semi,0.16,6.5600000000000005,Cerah/Berawan Sebagian,1,2,Selasa,0.1045,7.0015,1,2011,0
0.1818,9.09,0,2,hourly,Hari Kerja,,2011-01-04,0,1,0.59,59.0,1,2,1,Musim Semi,0.16,6.5600000000000005,Cerah/Berawan Sebagian,1,2,Selasa,0.1045,7.0015,1,2011,0
0.1515,7.575,0,1,hourly,Hari Kerja,,2011-01-04,0,2,0.63,63.0,1,1,1,Musim Semi,0.14,5.74,Cerah/Berawan Sebagian,1,2,Selasa,0.1343,8.9981,1,2011,0
0.1818,9.09,0,2,hourly,Hari Kerja,,2011-01-04,0,4,0.63,63.0,1,2,1,Musim Semi,0.14,5.74,Cerah/Berawan Sebagian,1,2,Selasa,0.0896,6.0032,1,2011,0
0.1515,7.575,0,4,hourly,Hari Kerja,,2011-01-04,0,5,0.68,68.0,1,4,1,Musim Semi,0.12,4.92,Cerah/Berawan Sebagian,1,2,Selasa,0.1045,7.0015,1,2011,0
0.1515,7.575,0,36,hourly,Hari Kerja,,2011-01-04,0,6,0.74,74.0,1,36,1,Musim Semi,0.12,4.92,Cerah/Berawan Sebagian,1,2,Selasa,0.1045,7.0015,1,2011,0
0.1515,7.575,2,94,hourly,Hari Kerja,,2011-01-04,0,7,0.74,74.0,1,92,1,Musim Semi,0.12,4.92,Cerah/Berawan Sebagian,1,2,Selasa,0.1343,8.9981,1,2011,0
0.1515,7.575,2,179,hourly,Hari Kerja,,2011-01-04,0,8,0.69,69.0,1,177,1,Musim Semi,0.14,5.74,Cerah/Berawan Sebagian,1,2,Selasa,0.1642,11.0014,1,2011,0
0.1515,7.575,2,100,hourly,Hari Kerja,,2011-01-04,0,9,0.64,64.0,1,98,1,Musim Semi,0.16,6.5600000000000005,Cerah/Berawan Sebagian,1,2,Selasa,0.2239,15.001299999999999,1,2011,0
0.1364,6.819999999999999,5,42,hourly,Hari Kerja,,2011-01-04,0,10,0.69,69.0,1,37,1,Musim Semi,0.16,6.5600000000000005,Berkabut/Berawan,2,2,Selasa,0.3284,22.0028,1,2011,0
0.2121,10.605,7,57,hourly,Hari Kerja,,2011-01-04,0,11,0.51,51.0,1,50,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,2,Selasa,0.2985,19.999499999999998,1,2011,0
0.2273,11.365,12,78,hourly,Hari Kerja,,2011-01-04,0,12,0.51,51.0,1,66,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,2,Selasa,0.1642,11.0014,1,2011,0
0.2273,11.365,18,97,hourly,Hari Kerja,,2011-01-04,0,13,0.56,56.00000000000001,1,79,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,2,Selasa,0.194,12.998000000000001,1,2011,0
0.2576,12.879999999999999,9,63,hourly,Hari Kerja,,2011-01-04,0,14,0.52,52.0,1,54,1,Musim Semi,0.26,10.66,Cerah/Berawan Sebagian,1,2,Selasa,0.2239,15.001299999999999,1,2011,0
0.2727,13.635,17,65,hourly,Hari Kerja,,2011-01-04,0,15,0.52,52.0,1,48,1,Musim Semi,0.28,11.48,Cerah/Berawan Sebagian,1,2,Selasa,0.2537,16.997899999999998,1,2011,0
0.2879,14.395,15,83,hourly,Hari Kerja,,2011-01-04,0,16,0.49,49.0,1,68,1,Musim Semi,0.3,12.299999999999999,Cerah/Berawan Sebagian,1,2,Selasa,0.2537,16.997899999999998,1,2011,0
0.2727,13.635,10,212,hourly,Hari Kerja,,2011-01-04,0,17,0.48,48.0,1,202,1,Musim Semi,0.28,11.48,Cerah/Berawan Sebagian,1,2,Selasa,0.2239,15.001299999999999,1,2011,0
0.2576,12.879999999999999,3,182,hourly,Hari Kerja,,2011-01-04,0,18,0.48,48.0,1,179,1,Musim Semi,0.26,10.66,Cerah/Berawan Sebagian,1,2,Selasa,0.194,12.998000000000001,1,2011,0
0.2576,12.879999999999999,2,112,hourly,Hari Kerja,,2011-01-04,0,19,0.48,48.0,1,110,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,2,Selasa,0.1045,7.0015,1,2011,0
0.2576,12.879999999999999,1,54,hourly,Hari Kerja,,2011-01-04,0,20,0.48,48.0,1,53,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,2,Selasa,0.1045,7.0015,1,2011,0
0.2727,13.635,0,48,hourly,Hari Kerja,,2011-01-04,0,21,0.64,64.0,1,48,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,2,Selasa,0.0,0.0,1,2011,0
0.2576,12.879999999999999,1,35,hourly,Hari Kerja,,2011-01-04,0,22,0.64,64.0,1,34,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,2,Selasa,0.0896,6.0032,1,2011,0
0.2273,11.365,2,11,hourly,Hari Kerja,,2011-01-04,0,23,0.69,69.0,1,9,1,Musim Semi,0.2,8.200000000000001,Cerah/Berawan Sebagian,1,2,Selasa,0.0896,6.0032,1,2011,0
0.2576,12.879999999999999,0,6,hourly,Hari Kerja,,2011-01-05,0,0,0.64,64.0,1,6,1,Musim Semi,0.2,8.200000000000001,Cerah/Berawan Sebagian,1,3,Rabu,0.0,0.0,1,2011,0
0.197,9.85,0,6,hourly,Hari Kerja,,2011-01-05,0,1,0.74,74.0,1,6,1,Musim Semi,0.16,6.5600000000000005,Cerah/Berawan Sebagian,1,3,Rabu,0.0896,6.0032,1,2011,0
0.197,9.85,0,2,hourly,Hari Kerja,,2011-01-05,0,2,0.74,74.0,1,2,1,Musim Semi,0.16,6.5600000000000005,Cerah/Berawan Sebagian,1,3,Rabu,0.0896,6.0032,1,2011,0
0.2273,11.365,0,2,hourly,Hari Kerja,,2011-01-05,0,4,0.48,48.0,1,2,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,3,Rabu,0.2239,15.001299999999999,1,2011,0
0.2273,11.365,0,3,hourly,Hari Kerja,,2011-01-05,0,5,0.47,47.0,1,3,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,3,Rabu,0.1642,11.0014,1,2011,0
0.197,9.85,0,33,hourly,Hari Kerja,,2011-01-05,0,6,0.47,47.0,1,33,1,Musim Semi,0.2,8.200000000000001,Cerah/Berawan Sebagian,1,3,Rabu,0.2239,15.001299999999999,1,2011,0
0.1818,9.09,1,88,hourly,Hari Kerja,,2011-01-05,0,7,0.43,43.0,1,87,1,Musim Semi,0.18,7.38,Cerah/Berawan Sebagian,1,3,Rabu,0.194,12.998000000000001,1,2011,0
0.1818,9.09,3,195,hourly,Hari Kerja,,2011-01-05,0,8,0.4,40.0,1,192,1,Musim Semi,0.2,8.200000000000001,Cerah/Berawan Sebagian,1,3,Rabu,0.2985,19.999499999999998,1,2011,0
0.197,9.85,6,115,hourly,Hari Kerja,,2011-01-05,0,9,0.37,37.0,1,109,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,3,Rabu,0.3284,22.0028,1,2011,0
0.197,9.85,4,57,hourly,Hari Kerja,,2011-01-05,0,10,0.37,37.0,1,53,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,3,Rabu,0.3284,22.0028,1,2011,0
0.2273,11.365,12,46,hourly,Hari Kerja,,2011-01-05,0,11,0.33,33.0,1,34,1,Musim Semi,0.26,10.66,Cerah/Berawan Sebagian,1,3,Rabu,0.3284,22.0028,1,2011,0
0.2273,11.365,5,79,hourly,Hari Kerja,,2011-01-05,0,12,0.33,33.0,1,74,1,Musim Semi,0.26,10.66,Cerah/Berawan Sebagian,1,3,Rabu,0.3284,22.0028,1,2011,0
0.2576,12.879999999999999,6,71,hourly,Hari Kerja,,2011-01-05,0,13,0.3,30.0,1,65,1,Musim Semi,0.28,11.48,Cerah/Berawan Sebagian,1,3,Rabu,0.2985,19.999499999999998,1,2011,0
0.2879,14.395,10,62,hourly,Hari Kerja,,2011-01-05,0,14,0.28,28.000000000000004,1,52,1,Musim Semi,0.3,12.299999999999999,Cerah/Berawan Sebagian,1,3,Rabu,0.194,12.998000000000001,1,2011,0
0.2879,14.395,7,62,hourly,Hari Kerja,,2011-01-05,0,15,0.28,28.000000000000004,1,55,1,Musim Semi,0.3,12.299999999999999,Cerah/Berawan Sebagian,1,3,Rabu,0.194,12.998000000000001,1,2011,0
0.3182,15.909999999999998,4,89,hourly,Hari Kerja,,2011-01-05,0,16,0.28,28.000000000000004,1,85,1,Musim Semi,0.3,12.299999999999999,Cerah/Berawan Sebagian,1,3,Rabu,0.0896,6.0032,1,2011,0
0.2273,11.365,4,190,hourly,Hari Kerja,,2011-01-05,0,17,0.38,38.0,1,186,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,3,Rabu,0.194,12.998000000000001,1,2011,0
0.2424,12.120000000000001,3,169,hourly,Hari Kerja,,2011-01-05,0,18,0.38,38.0,1,166,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,3,Rabu,0.1343,8.9981,1,2011,0
0.2576,12.879999999999999,5,132,hourly,Hari Kerja,,2011-01-05,0,19,0.38,38.0,1,127,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,3,Rabu,0.1045,7.0015,1,2011,0
0.2273,11.365,7,89,hourly,Hari Kerja,,2011-01-05,0,20,0.47,47.0,1,82,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,3,Rabu,0.1642,11.0014,1,2011,0
0.197,9.85,3,43,hourly,Hari Kerja,,2011-01-05,0,21,0.51,51.0,1,40,1,Musim Semi,0.2,8.200000000000001,Cerah/Berawan Sebagian,1,3,Rabu,0.194,12.998000000000001,1,2011,0
0.197,9.85,1,42,hourly,Hari Kerja,,2011-01-05,0,22,0.55,55.00000000000001,1,41,1,Musim Semi,0.18,7.38,Cerah/Berawan Sebagian,1,3,Rabu,0.1343,8.9981,1,2011,0
0.2576,12.879999999999999,1,19,hourly,Hari Kerja,,2011-01-05,0,23,0.47,47.0,1,18,1,Musim Semi,0.2,8.200000000000001,Cerah/Berawan Sebagian,1,3,Rabu,0.0,0.0,1,2011,0
0.2424,12.120000000000001,0,11,hourly,Hari Kerja,,2011-01-06,0,0,0.55,55.00000000000001,1,11,1,Musim Semi,0.18,7.38,Cerah/Berawan Sebagian,1,4,Kamis,0.0,0.0,1,2011,0
0.2273,11.365,0,4,hourly,Hari Kerja,,2011-01-06,0,1,0.64,64.0,1,4,1,Musim Semi,0.16,6.5600000000000005,Cerah/Berawan Sebagian,1,4,Kamis,0.0,0.0,1,2011,0
0.2273,11.365,0,2,hourly,Hari Kerja,,2011-01-06,0,2,0.64,64.0,1,2,1,Musim Semi,0.16,6.5600000000000005,Cerah/Berawan Sebagian,1,4,Kamis,0.0,0.0,1,2011,0
0.197,9.85,0,1,hourly,Hari Kerja,,2011-01-06,0,4,0.64,64.0,1,1,1,Musim Semi,0.16,6.5600000000000005,Berkabut/Berawan,2,4,Kamis,0.0896,6.0032,1,2011,0
0.1818,9.09,0,4,hourly,Hari Kerja,,2011-01-06,0,5,0.69,69.0,1,4,1,Musim Semi,0.14,5.74,Berkabut/Berawan,2,4,Kamis,0.0896,6.0032,1,2011,0
0.1667,8.334999999999999,0,36,hourly,Hari Kerja,,2011-01-06,0,6,0.63,63.0,1,36,1,Musim Semi,0.14,5.74,Berkabut/Berawan,2,4,Kamis,0.1045,7.0015,1,2011,0
0.2273,11.365,0,95,hourly,Hari Kerja,,2011-01-06,0,7,0.59,59.0,1,95,1,Musim Semi,0.16,6.5600000000000005,Berkabut/Berawan,2,4,Kamis,0.0,0.0,1,2011,0
0.2273,11.365,3,219,hourly,Hari Kerja,,2011-01-06,0,8,0.59,59.0,1,216,1,Musim Semi,0.16,6.5600000000000005,Cerah/Berawan Sebagian,1,4,Kamis,0.0,0.0,1,2011,0
0.2424,12.120000000000001,6,122,hourly,Hari Kerja,,2011-01-06,0,9,0.51,51.0,1,116,1,Musim Semi,0.18,7.38,Berkabut/Berawan,2,4,Kamis,0.0,0.0,1,2011,0
